gvkey,datadate,fyear,ni,at,dltt,sic,ceoann,gender,becameceo_year,female_ceo,board_size,nationality_mix,gender_ratio,roa,ln_assets,leverage,ceo_tenure,sic1,sp1500
001021,2007-06-30,2007,-4.673,27.171,5.822,3844,,,,,,,,-0.17198483677450224,3.302150228060921,0.2142725700195061,,3,
001021,2008-06-30,2008,-11.049,21.401,0.023,3844,,,,,,,,-0.5162842857810382,3.0634376499080043,0.001074716134760058,,3,
001021,2008-06-30,2008,-11.049,21.401,0.023,3844,,,,,,,,-0.5162842857810382,3.0634376499080043,0.001074716134760058,,3,
001034,2000-12-31,2000,55.508,1610.435,504.445,2834,CEO,FEMALE,2000-01-01,1,,,,0.03446770593038527,7.384259607820158,0.3132352438937306,0.0,2,
001034,2001-12-31,2001,-37.914,2390.008,1030.254,2834,CEO,FEMALE,2000-01-01,1,,,,-0.01586354522662686,7.779051992200289,0.43106717634417957,1.0,2,
001034,2001-12-31,2001,,2397.194,1060.592,2834,CEO,FEMALE,2000-01-01,1,,,,,7.782054165660824,0.4424306084530497,1.0,2,
001034,2002-12-31,2002,-99.661,2296.924,847.266,2834,CEO,FEMALE,2000-01-01,1,,,,-0.04338889749943838,7.739326115506982,0.36886984506235293,2.0,2,
001034,2002-12-31,2002,,2312.438,895.858,2834,CEO,FEMALE,2000-01-01,1,,,,,7.746057658216354,0.3874084407884665,2.0,2,
001034,2003-12-31,2003,13.833,2329.268,782.249,2834,CEO,FEMALE,2000-01-01,1,,,,0.0059387756153435325,7.753309334110056,0.3358346914137832,3.0,2,
001034,2003-12-31,2003,13.833,2342.147,817.156,2834,CEO,FEMALE,2000-01-01,1,,,,0.005906119470724938,7.758823309053832,0.34889185008455914,3.0,2,
001034,2004-12-31,2004,-314.737,2003.842,10.0,2834,CEO,FEMALE,2000-01-01,1,,,,-0.15706677472575184,7.602821616781167,0.004990413415828194,4.0,2,
001034,2004-12-31,2004,-314.737,2039.612,701.735,2834,CEO,FEMALE,2000-01-01,1,,,,-0.15431219271116273,7.620514872670263,0.34405318266415374,4.0,2,
001034,2005-12-31,2005,133.769,1623.383,0.017,2834,CEO,FEMALE,2000-01-01,1,,,,0.08240138032737808,7.392267522423039,1.0471958866145574e-05,5.0,2,
001034,2005-12-31,2005,133.769,1623.383,416.669,2834,CEO,FEMALE,2000-01-01,1,,,,0.08240138032737808,7.392267522423039,0.25666709581164765,5.0,2,
001034,2006-12-31,2006,82.544,927.239,0.0,2834,,FEMALE,2000-01-01,1,,,,0.08902127714645307,6.832211353263475,0.0,6.0,2,
001034,2006-12-31,2006,82.544,927.239,0.0,2834,,FEMALE,2000-01-01,1,,,,0.08902127714645307,6.832211353263475,0.0,6.0,2,
001034,2007-12-31,2007,-13.581,1288.165,300.0,2834,,FEMALE,,1,,,,-0.010542904053440359,7.160974004049541,0.23288942022178835,,2,
001034,2007-12-31,2007,-13.581,1288.165,300.0,2834,,FEMALE,,1,,,,-0.010542904053440359,7.160974004049541,0.23288942022178835,,2,
001036,2000-12-31,2000,56.55,2325.377,658.267,3443,,,,,,,,0.02431863736503801,7.751637455414114,0.28307968987394305,,3,1.0
001036,2000-12-31,2000,56.55,2325.377,658.267,3443,,,,,,,,0.02431863736503801,7.751637455414114,0.28307968987394305,,3,1.0
001036,2000-12-31,2000,56.55,2325.377,658.267,3443,,,,,,,,0.02431863736503801,7.751637455414114,0.28307968987394305,,3,1.0
001036,2000-12-31,2000,56.55,2325.377,658.267,3443,,,,,,,,0.02431863736503801,7.751637455414114,0.28307968987394305,,3,1.0
001037,2001-03-31,2000,1.164,6.373,0.061,3663,,,,,,,,0.18264553585438567,1.8520703163321572,0.009571630315393063,,3,
001037,2001-03-31,2000,1.164,6.373,0.061,3663,,,,,,,,0.18264553585438567,1.8520703163321572,0.009571630315393063,,3,
001037,2002-03-31,2001,0.67,17.867,1.943,3663,,,,,,,,0.037499300386186825,2.88295543595103,0.10874797111994179,,3,
001037,2002-03-31,2001,0.67,17.867,1.943,3663,,,,,,,,0.037499300386186825,2.88295543595103,0.10874797111994179,,3,
001038,2001-03-31,2000,-105.886,1047.264,748.138,7830,,,,,,,,-0.10110726617166255,6.953936328083456,0.7143738350597367,,7,
001038,2001-03-31,2000,-105.917,1043.564,748.138,7830,,,,,,,,-0.10149545212368383,6.950397056692104,0.716906677501332,,7,
001038,2002-03-31,2001,-11.468,1279.17,650.969,7830,,,,,,,,-0.008965188364329994,7.153966709087141,0.5088995207830077,,7,
001038,2002-03-31,2001,-10.378,1276.97,650.969,7830,,,,,,,,-0.008127050752954258,7.152245363195896,0.509776267257649,,7,
001038,2003-03-31,2002,-20.302,1491.698,725.197,7830,,,,,,,,-0.013609993443713136,7.307670347406824,0.48615537461336006,,7,
001038,2003-03-31,2002,-29.546,1480.698,725.197,7830,,,,,,,,-0.019954102727227294,7.30026887720126,0.48976698827174747,,7,
001038,2004-03-31,2003,-10.714,1506.534,744.964,7830,,,,,,,,-0.007111688153071886,7.317566927183921,0.49448867400271085,,7,
001038,2004-03-31,2003,-10.714,1506.534,744.964,7830,,,,,,,,-0.007111688153071886,7.317566927183921,0.49448867400271085,,7,
001045,2000-12-31,2000,813.0,26213.0,5474.0,4512,,FEMALE,,1,,,,0.031015145156983177,10.174010749897112,0.20882768092168008,,4,1.0
001045,2001-12-31,2001,-1762.0,32841.0,9834.0,4512,,FEMALE,,1,,,,-0.05365244663682592,10.399433013772667,0.29944276970859596,,4,1.0
001045,2002-12-31,2002,-3511.0,30267.0,12310.0,4512,,FEMALE,,1,,,,-0.11600092509994384,10.31781328907649,0.4067135824495325,,4,1.0
001045,2002-12-31,2002,,,,4512,,FEMALE,,1,,,,,,,,4,1.0
001045,2003-12-31,2003,-1228.0,29330.0,13126.0,4512,,MALE,1998-05-20,0,,,,-0.04186839413569724,10.286366161971497,0.44752812819638593,5.0,4,1.0
001045,2004-12-31,2004,-761.0,28773.0,13524.0,4512,CEO,MALE,2003-04-25,0,,,,-0.026448406492197547,10.26719272639606,0.47002398081534774,1.0,4,1.0
001045,2005-12-31,2005,-861.0,29495.0,13456.0,4512,CEO,MALE,2003-04-25,0,,,,-0.029191388370910325,10.291976036437175,0.4562129174436345,2.0,4,1.0
001045,2005-12-31,2005,,,,4512,CEO,MALE,2003-04-25,0,,,,,,,2.0,4,1.0
001045,2006-12-31,2006,231.0,29145.0,12041.0,4512,CEO,MALE,2003-04-25,0,,,,0.007925887802367472,10.28003865047965,0.4131411905987305,3.0,4,1.0
001045,2006-12-31,2006,,,,4512,CEO,MALE,2003-04-25,0,,,,,,,3.0,4,1.0
001045,2007-12-31,2007,504.0,28571.0,10093.0,4512,CEO,MALE,2003-04-25,0,,,,0.017640264603969058,10.26014749636236,0.35326029890448357,4.0,4,1.0
001045,2007-12-31,2007,,,,4512,CEO,MALE,2003-04-25,0,,,,,,,4.0,4,1.0
001045,2008-12-31,2008,-2071.0,25175.0,9001.0,4512,CEO,MALE,2003-04-25,0,,,,-0.08226415094339623,10.133606717586762,0.3575372393247269,5.0,4,1.0
001045,2008-12-31,2008,,,,4512,CEO,MALE,2003-04-25,0,,,,,,,5.0,4,1.0
001045,2009-12-31,2009,-1468.0,25438.0,10583.0,4512,CEO,MALE,2003-04-25,0,,,,-0.05770893938202689,10.14399939801143,0.4160311345231543,6.0,4,1.0
001045,2009-12-31,2009,,,,4512,CEO,MALE,2003-04-25,0,,,,,,,6.0,4,1.0
001045,2010-12-31,2010,-471.0,25088.0,9253.0,4512,,FEMALE,,1,,,,-0.01877391581632653,10.130144923150134,0.3688217474489796,,4,1.0
